日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
2020/7/23,外資及陸資,261835,221796,275657,231739,-13822,-9943,158847,160788,198184,120612,-39337,40176
2020/7/24,自營商,344106,61935,337611,64359,6495,-2424,203516,68061,252222,42397,-48706,25664
2020/7/24,投信,118,287,1496,3637,-1378,-3350,10403,14089,43014,97387,-32611,-83298
2020/7/24,外資及陸資,417024,313379,420211,303911,-3187,9468,164391,163664,206915,114563,-42524,49101
2020/7/27,自營商,375234,62144,348696,62340,26538,-196,235810,70915,257751,44414,-21941,26501
2020/7/27,投信,1221,2821,87,217,1134,2604,10547,14636,42024,97781,-31477,-83145
2020/7/27,外資及陸資,445930,338305,435286,324259,10644,14046,169543,170732,204423,106319,-34880,64413
2020/7/28,自營商,694685,99013,701243,103353,-6558,-4340,253339,69881,281706,47720,-28367,22161
2020/7/28,投信,120,292,835,2058,-715,-1766,10611,14767,42803,99393,-32192,-84626
2020/7/28,外資及陸資,710678,486628,715279,495647,-4601,-9019,176479,166517,212980,111206,-36501,55311
2020/7/29,自營商,533750,57857,548352,60343,-14602,-2486,195555,66696,212674,47057,-17119,19639
2020/7/29,投信,47,0,1306,3100,-1259,-3100,10532,14561,43983,102038,-33451,-87477
2020/7/29,外資及陸資,539612,303944,545066,305640,-5454,-1696,169006,172708,207135,119015,-38129,53693
2020/7/30,自營商,216290,43736,223593,41057,-7303,2679,220961,70482,245401,47756,-24440,22726
2020/7/30,投信,109,250,52,114,57,136,10546,14786,43940,103364,-33394,-88578
2020/7/30,外資及陸資,339628,273635,328045,263811,11583,9824,182710,179202,209259,114919,-26549,64283
2020/7/31,自營商,224672,42451,229499,43683,-4827,-1232,229467,70950,258715,49564,-29248,21386
2020/7/31,投信,527,1245,524,291,3,954,10582,14799,43973,102279,-33391,-87480
2020/7/31,外資及陸資,354280,291142,366516,300335,-12236,-9193,184012,179108,222797,124192,-38785,54916
2020/8/3,自營商,257164,46702,288190,40933,-31026,5769,235728,76329,295969,49521,-60241,26808
2020/8/3,投信,15,15,1342,3328,-1327,-3313,10584,14641,45302,104470,-34718,-89829
2020/8/3,外資及陸資,375333,279794,393615,294779,-18282,-14985,188236,171966,241103,132432,-52867,39534
2020/8/4,自營商,340071,43296,317942,44247,22129,-951,247820,78320,285964,52009,-38144,26311
2020/8/4,投信,1150,2841,47,101,1103,2740,10753,15239,44368,103692,-33615,-88453
2020/8/4,外資及陸資,348108,236175,327940,215165,20168,21010,198573,183230,231272,122057,-32699,61173
2020/8/5,自營商,398833,42447,377808,46092,21025,-3645,212193,73260,240568,50220,-28375,23040
2020/8/5,投信,487,1068,113,168,374,900,10728,15264,43969,103605,-33241,-88341
2020/8/5,外資及陸資,325369,202008,319681,199449,5688,2559,193996,189396,221050,125121,-27054,64275
2020/8/6,自營商,273807,51084,276605,50239,-2798,845,245316,77650,276463,53508,-31147,24142
2020/8/6,投信,135,236,97,181,38,55,10706,15282,43909,104234,-33203,-88952
2020/8/6,外資及陸資,329211,268869,333220,268437,-4009,432,204346,190702,235409,125566,-31063,65136
2020/8/7,自營商,202695,38030,215513,36902,-12818,1128,259289,81055,303259,55911,-43970,25144
2020/8/7,投信,15,38,381,972,-366,-934,10689,15141,44258,104492,-33569,-89351
2020/8/7,外資及陸資,298731,232776,309221,234611,-10490,-1835,205198,185769,246751,122623,-41553,63146
2020/8/10,自營商,257469,36469,244495,38828,12974,-2359,280828,79528,311892,56437,-31064,23091
2020/8/10,投信,641,1539,113,224,528,1315,10637,15077,43678,103787,-33041,-88710
2020/8/10,外資及陸資,289870,217906,296141,224285,-6271,-6379,201737,182891,249561,125600,-47824,57291
2020/8/11,自營商,311489,45258,317255,47464,-5766,-2206,290086,79657,326922,58962,-36836,20695
2020/8/11,投信,26,34,606,1510,-580,-1476,10633,14929,44254,104286,-33621,-89357
2020/8/11,外資及陸資,288559,201884,301026,208407,-12467,-6523,197249,176057,257540,125649,-60291,50408
2020/8/12,自營商,463692,69126,506529,66653,-42837,2473,230017,74420,265770,51506,-35753,22914
2020/8/12,投信,105,46,583,1250,-478,-1204,10553,14626,44652,104619,-34099,-89993
